Deal Name,FLY Allocation
Carmine's on Penn - New Deal,"250,000"
Santa Panza - New Deal,"250,000"
"NY', 'Bar Freda - New Deal",0
Juanita Greenberg's (Mt. Pleasant) - New Deal,"250,000"
Poke Burri (CHS) - New Deal,"250,000"
Kilo Bravo - New Deal,0
Echo Bravo - New Deal,0
Bar Sprezzatura,Contract not found
Ask Alita - New Deal,0
Witching Hour - New Deal,0
Juanita Greenberg's (Downtown) - New Deal,"250,000"
Mixed Ingredients - New Deal,0
Regina's Grocery - Brooklyn- New Deal,0
Regina's Grocery - SoHo -New Deal,0
Regina's Grocery - UES- New Deal,0
Tonchin BK- New Deal,0
Tonchin Midtown- New Deal,0
Tonchin LA - New Deal,0
Regina’s Grocery - LES New Deal,0
Hing Lung Company aka Go Duck Yourself - New Deal,"250,000"
Bowery Road - New Deal,"250,000"
Bar Francis - New Deal,"250,000"
Sweet Polly - New Deal,"250,000"
LoreSF - New Deal,"250,000"
South Edison - New Deal,Contract not found
Perbacco - New Deal,"250,000"
BierWax - New Deal,"250,000"
Asano Cafe - New Deal,0
Beanstalk Cafe - Inner Richmond - New Deal,"250,000"
AQUA NYC,"250,000"
Lagos TSQ - New Deal,0
Native Brooklyn - New Deal,Contract not found
Native Harlem - New Deal,Contract not found
Maison Premiere Williamsburg,"250,000"
The Daily (Charleston - King St) Regulars,"250,000"
GERTIE Williamsburg,"250,000"
